review,sentiment
uninspired direction leaf decent cast stranded handsome bland adaptation dialogue seems recited rather heartfelt cash strapped appearance ghost fail round sense awe magic edward woodward ghost christmas present wobble around stilt seems impression bernard cribbins scrooge george c scott wry never seems truly believe robs performance effect scene shown past much impact half heartedly flicking family album one else seems putting effort except frank finlay chronically overacts,0
sleepless night switching channel found embarrassment movie thinking br br life remote control kari wuhrer salin wonder gone nowhere br br david keith take role pathetic br br anyway turned movie near end get much plot must best part nerdy college kid brings home dominatrix ish girl scene straight comic book cheap porn movie call mother anal retentive kiss father oh expect tongue great line br br see ended br br well course bitch hell helluva past swat team upstairs yes surround yes yes kid blow brain ahahhahahaha br br must see tv br br,0
cat brain series extremely violent sequence knitted together plot feel like overview describing director lucio fulci notorious year film making movie could also seen dark comedy sort effectively spoofing various claim violent cinema cause violence real life fulci go cast star central figure film thus showing audience man behind cinematic gore cat brain presenting clear story following instead poke fun clichés surrounding horror genre year br br lucio fulci play horror director struggling keep humanity intact year violent film making finally began reach start slowly steak meat general begin disgust colleague assure fulci need rest help soon grotesque idea movie begin overwhelm daily thought attempt find cure dangerously maddening mental state lucio start going local psychiatrist unfortunately wrong good fulci thrown even bigger mess psychiatrist turn psychopath mimic murder fulci film real life br br film retains trademark italian splatter cinema good bad comment acting technical aspect budget constrains quite irrelevant quality film visual experience doubt fulci throw incredible amount violence easily surpassing pretty much everything made amputated chainsaw limb cannibalism child murder decapitation many grotesque act witnessed cat brain obviously recycled director le profile movie stand context actually feel quite home noted movie exists much better satire genre rather serious piece way violence presented help establish idea sequence shortly climax rejected reality film revealed actually scene inside movie fulci character directing sort film film presentation lessens somewhat impact gore way make easy watch film oh far beyond level gore found mainstream horror gorehounds doubt satisfied fact br br lucio fulci polarized figure people either hate work love cat brain convince fulci detractor opposite nevertheless interesting part filmography one fan really check,1
like early masterpiece elephant man lynch prof detractor tell straight simple story without losing artistic touch true story elderly retired man expertly played richard farnsworth decides ride tractor across state pay final visit estranged brother stand death door beautiful score badalamenti exquisite photography rural life love aerial corn field shot sly director hand reveals man basic humanity beautiful slice life film extremely slow pace may lull viewer sleep stay along ride well rewarded end,1
hard imagine anyone making tom cruise film look good hard indeed one make look good good actually make look like sir john gielgud celebrating good acting day bravura performance br br acting entire ensemble struggled rise risible failed fault part let u fair plot bore much resemblance hg well original butchered carcass human victim film living predecessor bloodied violated remnant attractive predecessor describe plot bit holy say colander kitchen utensil remarkable lot hole unless hole bag case film commend br br fault part demotivated jobbing dvd actor knew full well one assumes exhibition would wind dvd shelf overpriced br br watch yes course miserable sinner deserve punishment,0
movie scary moment great use music film angle build suspense obvious director ethan wiley scriptwriter ellary eddy waste time researching subject matter also make question claim exorcism scene overseen genuine catholic bishop br br amongst many inconsistency br br jacob roman catholic priest first meet outside church wearing academic robe clericals rather typical alb chasuble surplice academic robe commonly worn protestant minister liturgical denomination roman catholic priest br br jacob priest quote obscure disturbing scripture angel taking weapon attribute st paul verse st paul writing neither bible even find gnostic scripture br br jacob tell bishop believe demon possession turn request study exorcism complete later day within minute talking possessed isabelle sure possible little unrealistic see father damien priest psychologist original exorcist bit realistic portrayal skeptic turned believer br br miguel former priest turned farmhand first try exorcism isabelle quote scripture quote back say see know psalm corrects psalm wrong br br miguel former priest got done performing exorcism making sign cross calling name christ applying holy water etc tell jacob believe church believe god maybe conflicted jacob enlists put home made vestment another go anyway br br miguel former roman catholic priest cross backwards eastern orthodox style hispanic roman catholic used priest crossed forehead sternum left side right side chest br br read little side story get notion satan messing whole family isabelle even end hard say sure anyone really guilty image head demonic trickery except sheriff pretty clear guilty br br positive side isabelle creepy opinion best part whole movie liked plot twist claire br br sure movie meant serious spoof br br listening running commentary cameron daddo ethan wiley inclined believe joke,0
one worst movie seen long time story boring dialogue atrocious acting hammy sure movie result film school homework project certainly played like one even particularly successful central conceit trying appear single continuous take whooshing horizontal camera pan cheap unoriginal way hiding cut,0
darr great movie shahrukh play obsessed lover almost anything win lady case juhi chawla little juhi know film shahrukh major crush constantly stalking admit thing movie pretty creepy like threatening phone call never life forget line love k k k kiran br br bad shahrukh juhi exactly together film juhi sunny make fairly good couple movie though shahrukh role pretty psychotic still think great job playing possibly imagine anyone else role wonder got award darr br br juhi say look especially amazing film always look amazing film darr give public wonderful image br br music excellent especially jaadu teri nazar one time favorite song also thought tu mere samne quite nice also br br must see everyone overall darr deserves,1
narrative  whether written visual poetic epic  generally try avoid may character reader viewer easily overwhelmed trying keep track exactly especially true film think simply cannot easily go back refresh memory cinema viewer like however problem see film dvd vhs br br year ago introduced audrey tautou french actress first saw fabulous destiny amelie poulain later long engagement finely crafted complex story large cast character earlier offering exceeds others way character complexity br br director used technique robert altman player short cut gosford park others paul thomas anderson magnolia stanley kramer mad mad mad mad world comedy almost epic proportion difference film first director let u see inside head character second scene repeated mean refresh viewer memory story flip flop different time period br br basic  core speak  story concern young woman irene tautou told fellow commuter train meet true love day occurs first minute film clever irony point irene realize young man opposite gilbert robin may one true love br br go separate way neither realizing potential significance close encounter however chaos result throughout rest day two young people rest character appear series cleverly constructed interwoven vignette seem going nowhere yet br br story simply could tend boring even quite predictable script director rip expectation host innovative scene commonplace turned believable extraordinary event allow two possible lover meet example next time bird poo sky drop onto book paper consider alternative two character make obvious choice must occur irene man destiny meet stone chip flying onto windscreen consider would happen br br interesting enough interesting assessing new man came along trying decide whether guy one irene whether fact young man train kept guessing br br let think see delightful romp br br recommended,1
watched film shire joy br br possibly one best film time timeless value get much amazing part moving funny great br br aspect spot portrayal story perfect every detail genuine even small irish subtlety covered br br use low high shot give two great view cristy look br br daniel day lewis performance incredible never seen actor ever really amazing br br great watch flow well probably closest thing yo get real life experience love br br seen see doubt something,1
